tweet_id,retweet_count,favorite_count
846514051647705089,11156,43448
846505985330044928,2964,13760
846153765933735936,8745,30787
846139713627017216,9739,30298
846042936437604353,2774,15590
845812042753855489,8407,28510
845677943972139009,4659,24611
845397057150107648,1733,7455
845306882940190720,5219,22795
845098359547420673,7427,0
844979544864018432,2470,13338
844973813909606400,3089,14707
844580511645339650,3032,16096
844223788422217728,2128,13378
843981021012017153,2871,14841
843856843873095681,4493,20985
843604394117681152,2666,16536
843235543001513987,5855,21038
842846295480000512,3535,14978
842765311967449089,1239,6592
842535590457499648,3414,17738
842163532590374912,5627,23938
842115215311396866,2950,13691
841833993020538882,14654,0
841680585030541313,7617,25246
841439858740625411,3579,12406
841320156043304961,5363,19415
841314665196081154,4529,15548
841077006473256960,5181,22410
840761248237133825,1720,0
840728873075638272,15680,0
840698636975636481,2,171
840696689258311684,949,12067
840632337062862849,1720,8829
840370681858686976,4446,16139
840268004936019968,5583,18898
839990271299457024,2225,13195
839549326359670784,7573,26982
839290600511926273,140,0
839239871831150596,6388,26655
838952994649550848,3905,19336
838921590096166913,2006,10942
838916489579200512,33,0
838831947270979586,10770,0
838561493054533637,1307,10788
838476387338051585,4670,22127
838201503651401729,9819,0
838150277551247360,325,1640
838085839343206401,1,138
838083903487373313,3058,17357
837820167694528512,7694,33547
837482249356513284,437,3802
837471256429613056,2227,12594
837110210464448512,2321,15805
836989968035819520,2256,12566
836753516572119041,4555,19067
836677758902222849,2189,12449
836648853927522308,548,0
836397794269200385,26985,0
836380477523124226,2937,14570
836260088725786625,4230,21014
836001077879255040,4183,18824
835685285446955009,7987,0
835574547218894849,3555,17554
835536468978302976,1664,0
835309094223372289,20547,0
835297930240217089,2952,16255
835264098648616962,1664,7622
835246439529840640,72,2072
835172783151792128,5664,25802
835152434251116546,2952,22089
834931633769889797,1609,10669
834786237630337024,5417,21131
834574053763584002,2485,13467
834477809192075265,10464,0
834458053273591808,1648,9510
834209720923721728,4663,20323
834167344700198914,3605,15639
834089966724603904,2100,9903
834086379323871233,2171,12904
833863086058651648,2372,13271
833826103416520705,3717,17859
833732339549220864,219,0
833722901757046785,3175,20567
833479644947025920,2017,14694
833124694597443584,4764,19957
832998151111966721,2164,13094
832769181346996225,39,0
832757312314028032,3565,16672
832682457690300417,2869,11735
832645525019123713,524,2892
832636094638288896,2742,15657
832397543355072512,2182,11840
832369877331693569,3149,16995
832273440279240704,2301,11226
832215909146226688,6130,0
832215726631055365,9190,0
832088576586297345,2,62
832040443403784192,9472,0
832032802820481025,4601,17673
831939777352105988,6044,23723
831926988323639298,34,332
831911600680497154,6404,27294
831670449226514432,1787,10308
831650051525054464,1894,7047
831552930092285952,2293,8881
831322785565769729,1534,9183
831315979191906304,1113,6474
831309418084069378,2432,11629
831262627380748289,2015,11789
830956169170665475,1477,7898
830583320585068544,16531,66125
830173239259324417,5614,0
830097400375152640,2899,9696
829878982036299777,4936,0
829861396166877184,1915,12126
829501995190984704,10464,31418
829449946868879360,1987,10361
829141528400556032,7234,24157
829011960981237760,16135,52694
828801551087042563,3385,0
828770345708580865,5785,25357
828708714936930305,11041,36149
828650029636317184,1328,9424
828409743546925057,1154,6301
828408677031882754,1276,7613
828381636999917570,2192,12485
828376505180889089,1056,7311
828372645993398273,2901,12464
828361771580813312,173,2170
828046555563323392,2843,11646
828011680017821696,2128,10265
827933404142436356,5188,19915
827653905312006145,2995,15369
827600520311402496,932,7411
